Date,Open,High,Low,Close,Volume,Adj Close
1990-10-08,8.125,8.50,8.125,8.50,3000,53.124999
1990-10-05,7.75,8.125,7.75,8.125,2000,50.781249
1990-10-04,8.625,8.75,7.75,8.25,8500,51.562499
1990-10-03,9.125,9.125,8.625,8.875,12400,55.468749
1990-10-02,9.625,9.625,9.00,9.125,4700,57.031249
1990-10-01,9.625,9.75,9.375,9.625,3500,60.156249
1990-09-28,9.50,9.875,9.375,9.375,3900,58.593749
1990-09-27,10.125,10.25,9.50,9.875,6400,61.718749
1990-09-26,10.00,10.00,9.50,9.75,2200,60.937499
1990-09-25,9.50,9.75,9.25,9.75,4400,60.937499
1990-09-24,10.00,10.125,9.375,9.50,5900,59.374999
1990-09-21,10.50,10.75,9.625,10.00,10600,62.499999
1990-09-20,10.75,11.125,10.375,10.75,25700,67.187498
1990-09-19,9.625,10.75,9.50,10.375,32000,64.843749
1990-09-18,9.00,10.25,9.00,9.875,24700,61.718749
1990-09-17,8.75,9.00,8.50,9.00,3300,56.249999
1990-09-14,8.75,8.75,8.50,8.75,3100,54.687499
1990-09-13,8.625,9.00,8.50,8.50,2300,53.124999
1990-09-12,8.75,8.875,8.50,8.75,4800,54.687499
1990-09-11,8.50,8.75,8.375,8.75,2700,54.687499
1990-09-10,8.625,9.00,8.625,8.625,5200,53.906249
1990-09-07,8.75,8.875,8.25,8.375,3100,52.343749
1990-09-06,8.375,9.00,8.375,8.625,14000,53.906249
1990-09-05,8.00,8.50,8.00,8.50,6100,53.124999
1990-09-04,7.875,8.125,7.875,8.125,2700,50.781249
1990-08-31,7.75,8.00,7.625,8.00,4000,49.999999
1990-08-30,7.875,8.125,7.625,7.625,15400,47.656249
1990-08-29,7.75,7.875,7.50,7.875,5000,49.218749
1990-08-28,7.375,7.875,7.125,7.875,6200,49.218749
1990-08-27,6.875,7.375,6.75,7.375,9600,46.093749
1990-08-24,7.00,7.125,6.625,6.875,11700,42.968749
1990-08-23,7.625,7.625,6.625,6.75,12700,42.187499
1990-08-22,7.875,8.00,7.50,7.50,1000,46.874999
1990-08-21,7.75,8.00,7.375,7.75,11200,48.437499
1990-08-20,8.25,8.50,8.00,8.25,10200,51.562499
1990-08-17,8.625,8.75,8.25,8.50,7600,53.124999
1990-08-16,8.875,9.125,8.50,8.75,2400,54.687499
1990-08-15,9.00,9.00,8.625,8.875,1200,55.468749
1990-08-14,8.625,9.00,8.375,9.00,6200,56.249999
1990-08-13,7.875,8.875,7.875,8.625,8700,53.906249
1990-08-10,8.375,8.75,7.875,8.375,11700,52.343749
1990-08-09,7.625,8.25,7.375,8.125,21400,50.781249
1990-08-08,7.25,7.625,7.125,7.625,13000,47.656249
1990-08-07,7.625,7.625,6.75,7.00,28200,43.749999
1990-08-06,7.875,7.875,6.875,7.00,14200,43.749999
1990-08-03,8.375,8.625,7.625,8.25,9000,51.562499
1990-08-02,8.50,8.75,8.50,8.625,4700,53.906249
1990-08-01,8.75,9.00,8.625,8.75,3500,54.687499
1990-07-31,8.75,8.75,8.50,8.625,4800,53.906249
1990-07-30,8.875,8.875,8.50,8.625,4600,53.906249
1990-07-27,8.875,9.125,8.75,8.875,5900,55.468749
1990-07-26,8.875,9.125,8.875,8.875,1600,55.468749
1990-07-25,8.75,9.125,8.75,8.875,2900,55.468749
1990-07-24,8.75,8.875,8.625,8.75,5300,54.687499
